reading number,time,temperature,humidity,gas,co2
234,60.0,0.0,44.0,21652.0,60.0
235,59.0,0.0,44.0,21430.0,60.0
236,59.0,0.0,44.0,21607.0,60.0
237,60.0,0.0,44.0,21540.0,59.0
238,59.0,0.0,44.0,21652.0,60.0
239,59.0,0.0,44.0,21562.0,60.0
240,60.0,0.0,44.0,21386.0,59.0
241,59.0,0.0,44.0,21321.0,60.0
242,60.0,0.0,44.0,21148.0,60.0
243,59.0,0.0,45.0,21127.0,60.0
244,59.0,0.0,45.0,20874.0,59.0
245,60.0,0.0,45.0,21452.0,60.0
246,59.0,0.0,44.0,21585.0,60.0
247,60.0,0.0,44.0,22273.0,59.0
248,60.0,0.0,44.0,22039.0,60.0
249,59.0,0.0,43.0,22156.0,60.0
250,60.0,0.0,43.0,22179.0,60.0
251,60.0,0.0,43.0,22635.0,59.0
252,60.0,0.0,43.0,22684.0,60.0
253,60.0,0.0,43.0,21970.0,60.0
254,60.0,0.0,43.0,21878.0,60.0
255,60.0,0.0,43.0,22203.0,60.0
256,59.0,0.0,43.0,22203.0,60.0
257,60.0,0.0,43.0,22513.0,60.0
258,60.0,0.0,43.0,22561.0,59.0
259,59.0,0.0,43.0,22085.0,60.0
260,60.0,0.0,43.0,21386.0,60.0
261,60.0,0.0,44.0,21408.0,60.0
262,60.0,0.0,44.0,22203.0,59.0
263,59.0,0.0,43.0,22537.0,60.0
264,60.0,0.0,43.0,22489.0,60.0
265,60.0,0.0,43.0,22085.0,59.0
266,59.0,0.0,43.0,22882.0,60.0
267,60.0,0.0,43.0,22733.0,60.0
268,60.0,0.0,43.0,22250.0,60.0
269,59.0,0.0,43.0,22513.0,59.0
270,60.0,0.0,43.0,22156.0,60.0
271,59.0,0.0,43.0,22156.0,60.0
272,60.0,0.0,43.0,21809.0,60.0
273,59.0,0.0,44.0,21299.0,59.0
274,59.0,0.0,44.0,21277.0,60.0
275,60.0,0.0,44.0,21585.0,60.0
276,59.0,0.0,44.0,21878.0,59.0
277,59.0,0.0,44.0,21652.0,60.0
278,60.0,0.0,44.0,21321.0,60.0
279,59.0,0.0,44.0,21540.0,60.0
280,59.0,0.0,44.0,21277.0,59.0
281,59.0,0.0,44.0,21809.0,60.0
282,60.0,0.0,44.0,21970.0,60.0
283,59.0,0.0,44.0,21832.0,60.0
284,59.0,0.0,44.0,22062.0,59.0
285,60.0,0.0,44.0,21855.0,60.0
286,59.0,0.0,44.0,21474.0,60.0
287,60.0,0.0,44.0,21585.0,59.0
288,60.0,0.0,44.0,21452.0,60.0
289,59.0,0.0,44.0,21496.0,60.0
290,60.0,0.0,44.0,21607.0,60.0
291,60.0,0.0,44.0,21901.0,59.0
292,60.0,0.0,44.0,21764.0,60.0
293,60.0,0.0,44.0,21452.0,60.0
294,60.0,0.0,44.0,21364.0,59.0
295,60.0,0.0,44.0,21629.0,60.0
296,59.0,0.0,44.0,21364.0,60.0
297,60.0,0.0,44.0,21386.0,60.0
298,59.0,0.0,44.0,21540.0,59.0
299,59.0,0.0,44.0,21127.0,60.0
300,60.0,0.0,44.0,20895.0,60.0
301,60.0,0.0,45.0,21000.0,60.0
302,59.0,0.0,45.0,21000.0,59.0
303,60.0,0.0,45.0,21085.0,60.0
304,59.0,0.0,44.0,21585.0,60.0
305,60.0,0.0,44.0,21540.0,59.0
306,59.0,0.0,44.0,21652.0,60.0
307,60.0,0.0,44.0,21674.0,60.0
308,60.0,0.0,44.0,21652.0,60.0
309,59.0,0.0,44.0,22132.0,59.0
310,59.0,0.0,43.0,22832.0,60.0
311,59.0,0.0,43.0,22345.0,60.0
312,59.0,0.0,43.0,22039.0,60.0
313,60.0,0.0,43.0,22417.0,59.0
314,60.0,0.0,43.0,22441.0,60.0
315,60.0,0.0,43.0,22733.0,60.0
316,59.0,0.0,43.0,22489.0,59.0
317,60.0,0.0,43.0,21878.0,60.0
318,60.0,0.0,43.0,21299.0,60.0
319,59.0,0.0,44.0,20937.0,60.0
320,59.0,0.0,45.0,20916.0,59.0
321,60.0,0.0,45.0,21021.0,60.0
322,60.0,0.0,45.0,21364.0,60.0
323,60.0,0.0,45.0,21343.0,59.0
324,60.0,0.0,45.0,20979.0,60.0
325,60.0,0.0,45.0,20895.0,60.0
326,59.0,0.0,45.0,20709.0,60.0
327,59.0,0.0,45.0,20648.0,59.0
328,60.0,0.0,45.0,20587.0,60.0
329,59.0,0.0,45.0,20486.0,60.0
330,59.0,0.0,45.0,20526.0,60.0
331,60.0,0.0,45.0,20730.0,59.0
332,60.0,0.0,45.0,20689.0,60.0
333,60.0,0.0,45.0,20771.0,60.0
334,59.0,0.0,45.0,20937.0,59.0
335,60.0,0.0,45.0,20854.0,60.0
336,59.0,0.0,45.0,20895.0,60.0
337,59.0,0.0,45.0,20771.0,60.0
338,60.0,0.0,45.0,21000.0,59.0
339,59.0,0.0,44.0,21518.0,60.0
340,60.0,0.0,44.0,21787.0,60.0
341,60.0,0.0,44.0,22226.0,60.0
342,60.0,0.0,43.0,22957.0,60.0
343,60.0,0.0,42.0,22758.0,60.0
344,60.0,0.0,43.0,22393.0,60.0
345,60.0,0.0,43.0,22062.0,59.0
346,59.0,0.0,43.0,21924.0,60.0
347,60.0,0.0,43.0,21343.0,60.0
348,60.0,0.0,44.0,21127.0,60.0
349,59.0,0.0,44.0,21585.0,59.0
350,60.0,0.0,44.0,21540.0,60.0
351,60.0,0.0,44.0,21343.0,60.0
352,60.0,0.0,44.0,20958.0,59.0
353,60.0,0.0,45.0,21127.0,60.0
354,60.0,0.0,44.0,21674.0,60.0
355,60.0,0.0,44.0,21719.0,60.0
356,59.0,0.0,44.0,21562.0,59.0
357,60.0,0.0,44.0,21321.0,60.0
358,60.0,0.0,44.0,21000.0,60.0
359,59.0,0.0,44.0,20895.0,60.0
